record_id,ml_classification
8e5b2e8d2c6fcbcf8603e0ea6e8a0059,Indeterminate
3e9eb91c3d39ced955b151e4b33f0397,Indeterminate
4608a7372b807cbd4fe522217884ef16,Indeterminate
4f9dca6f5de93d4af36a689dcfb0d678,Indeterminate
9b180d0205207e49623de8b84475033e,Indeterminate
efb22538f76fa9a749931b384a95c65b,Indeterminate
b4ad54b4836b3a98f5becaf9542aa50b,Indeterminate
ae02e90fffcde6265705fdc675efe46a,Indeterminate
613f70d0491b3f572152dbf2d1b1e997,Indeterminate
5f2ed6e4b09894ae3e67f00c8d9f62da,Indeterminate
9565f07e8fbd8ce46474efb7b60525bc,Indeterminate
70e43f98956a40f29f1a3222388a9be9,Indeterminate
bab012aff12f2f0ff220d206fac23539,Indeterminate
392851fe20bf9254f18eead27417ad62,Indeterminate
21f4ff64a69c4f7452e876a1e7d17179,Indeterminate
44e1f81116fe43648da6c427c428ae53,Indeterminate
361501745f1de07dbbd348d2bb3d50f8,Indeterminate
9781608a5aeb2c7e3db69e025a48b8fc,Indeterminate
8cb706aeb8f2994a17e392e099c00af7,Indeterminate
a52a31b9c4202fce983a4aa20d774c39,Indeterminate
4e163cb420760b7625cd09509e5414f6,Indeterminate
c23384f648e975ce28ff63da9a0fb71c,Indeterminate
6e5610263d67999367832cb1acc84568,Indeterminate
8a9da348ff609623734543cae2a85476,Manufacturer defect/negligence
36354dc331fa753346bfd5520bbabf91,Manufacturer defect/negligence
4056537f92acce58099c30ec53f77d20,Manufacturer defect/negligence
cd6285ff88d1897a7ca241cc4c619e81,Manufacturer defect/negligence
e0bcd98d81d917c2daac7a3d16206e99,Manufacturer defect/negligence
2cfd6974a7a5e6cb7ae104d9e844dbf5,Manufacturer defect/negligence
c9548d030ed2e4c20bc9939d32254642,Manufacturer defect/negligence
b8e014cee37b278b34882c8196a613e7,Manufacturer defect/negligence
5e5793c8ca5db5561f820d99c498d63e,Manufacturer defect/negligence
784403d1365d4604bf937633eb320a00,Manufacturer defect/negligence
a07b5abaf9b1aa760c40f4a21c2d56cf,Manufacturer defect/negligence
14bda34e5ca406d217b3a0df6ac6a917,Manufacturer defect/negligence
f2540cc0e76706a7ca1089ea2ef654b0,Okay.  Please provide the text.
af0ff25ad878b84ec97fd46b8e82cf4f,Operator error
f32559c13bfbb64003b630b816641037,Operator error
0e6e275a30c9e284fcf781289e8ab3ef,Operator error
fc03c4a6d66cd3ab6943b89a2f1d382d,Operator error
434d3afce93bc43f03c65f85c02b63ee,Operator error
b69b47851392e86d0d239add5c2ddf4b,Operator error
7c2a1c217cbc7619dc977820ab38d79b,Pilot error
d0c3e3c361bc03ea0ae1005c64487eee,Pilot error
61c545204a7761e53ed749f78b056177,Pilot error
461774474d010c4855ccb2a66c1a3165,Pilot error
8c5f684fe193e7d9049941d8efacfddb,Pilot error
e7c2616ff67e3bef482f970ebd1dba6f,Pilot error
6364ada6daa11bd98b27acc17a219a97,Pilot error
6b04dcc68b8b53f363ab127245237eb3,Pilot error
2543e7f2b03ce0ad5a3eb9ca382a560d,Pilot error
0d9a9b930ac5a10fd635e4abadecd63b,Pilot error
848524a8cf658bedc1029684518c32b3,Pilot error
3e6409410809882524339418f37a1f78,Pilot error
f4ac6b23cbb1d6364ff51d2fcf2284d1,Pilot error
25097767faf3b9a87df7c16f5904da9e,Pilot error
359d333df79f857204b32b699621be47,Pilot error
e1e139d4e41c960ff76ca9b45e09a6d5,Pilot error
c841fe7efc0fa4d1b9841c0f183f2d00,Pilot error
18ca9efcfe59962f3d4c460e18f77291,Pilot error
69b02cf0c6771a2c75c418714d3d13e7,Pilot error
351ad8aec7c34eefa96f42ac97d0a710,Pilot error
dc6ed1197b252a18bf6218714e34ef73,Pilot error
2a879d4867bff8c017f4bf195d157624,Pilot error
d061839d7656e3dcc3e2dab0d1dfb17d,Pilot error
87dfea4406a9c5ce521540574a9ce17d,Pilot error
2fa542a447eb6b033b5d8241c4985e05,Pilot error
b58008ada8e36afa80468352b3c941da,Pilot error
5f3126d5724e4b4858ba32a9b0913045,Pilot error
02e86a64379f53eba89d7c3c5c0adf4c,Pilot error
4edaafeea1e96d9f4b188418f523f49b,Pilot error
ea01c18b344052cd1f892bd5b0d87816,Pilot error
56530b6eadc1afbe5d147f9902c03f16,Pilot error
33bea65671923983764a0c965e3c8dbe,Pilot error
eda066ead9143702e920c99711bab2ed,Pilot error
d1b30c5168b49d0d065f30573dcec964,Pilot error
ee6180df8fc5967fdae038fe021e855d,Pilot error
44d87214935d35f1ccd6dfb075bb108c,Pilot error
e4c43699f8b132fdb3e477a186a7b7fd,Pilot error
e3e623439bb3893b733e76cc7201b3fc,Pilot error
16d77f99f43c2a6f26c8e03155d612ab,Pilot error
04a4c105cbff0c7d463469778dde841d,Pilot error
981d27d22b0db244a937424aa50fa6a5,Pilot error
46431c5a0f43a07bca67e5585d97e7ea,Pilot error
44844615749e48ee49e8b153c4fc7bcf,Pilot error
ce74cf5413040d9496d539529c56057b,Pilot error
2588204585a7c0a2a816be45832c22ad,Terrorism
32644705a286918875443c53023ebf38,Terrorism
03eb8fdf3f586675f73219cd8207e060,Indeterminate
8d3f771d7a35ec44b9a0173720bcba3b,Indeterminate
e9b8115f2b959db6842a3c9d50ed3159,Indeterminate
d4d6e3d0ebda45c9c5fd5e75aa7fc3b9,Indeterminate
5dfcaf613a6cc15a36e2c1ef4516b6e4,Indeterminate
f342abaf66604f4a877d9009d870f9f2,Indeterminate
048fc32f13970461347db04a647ff4ac,Indeterminate
33aff2e2c115683ee0e1790f94255e31,Indeterminate
fb75f60ac0c85432176f5fd8e776dfcf,Indeterminate
49502362d223a08d7a49015f1ed9a4ca,Indeterminate
